tempo,lugar,setor,valor_x,QL_x,M_x,Kr,Ks,ICE,ICS,valor_y,QL_y,M_y,C,D,Co_r,Di_r,Co_s,Di_s,ICDC,ICUC
2022,24,1334,5692020.32,3.984007387025688,1,119,11,-0.42417850125818135,-0.7909180099891575,159286764.14,15.454734974249737,1,1,0,66,45,6,5,0.1891891891891892,0.09090909090909091
2022,25,1334,2129730.8899999997,1.4739179863169145,1,107,11,-0.49279991839682596,-0.7909180099891575,14765.81,0.0020869499761291895,0,0,1,55,33,6,5,0.25,0.09090909090909091
2022,26,1334,11068323.98,2.9256376592998157,1,178,11,0.20141770687139868,-0.7909180099891575,356963766.51,12.925621359694622,1,1,0,87,65,6,5,0.14473684210526316,0.09090909090909091
2022,27,1334,508067.72000000003,0.4344748973804425,0,88,11,-0.6258161837883032,-0.7909180099891575,52633.02,0.0073986403202498325,0,0,0,41,23,6,5,0.28125,0.09090909090909091
2022,28,1334,1654366.17,1.8206721650606532,1,113,11,-0.5237642321274852,-0.7909180099891575,4488931.75,0.9232250822023084,0,0,1,43,34,6,5,0.11688311688311688,0.09090909090909091
2022,29,1334,22057952.73,4.097489057294866,1,185,11,-0.414412851921629,-0.7909180099891575,256535750.39,5.356454442459097,1,1,0,92,70,6,5,0.13580246913580246,0.09090909090909091
2022,31,1334,15673412.22,1.2909572381410157,1,245,11,0.4027053862241134,-0.7909180099891575,31875663.94,0.2377675051368524,0,0,1,156,78,6,5,0.3333333333333333,0.09090909090909091
2022,32,1334,5507709.66,2.450966559220088,1,205,11,0.3206478808019373,-0.7909180099891575,49322563.83,1.9234188619336232,1,1,0,110,70,6,5,0.2222222222222222,0.09090909090909091
2022,35,1334,23169636.97,0.5270865671006141,0,398,11,2.527654633380877,-0.7909180099891575,391218795.32,0.7682183987237666,0,0,0,294,99,6,5,0.4961832061068702,0.09090909090909091
2022,41,1334,2674971.95,0.30914068647893295,0,283,11,1.360404121589458,-0.7909180099891575,14364715.14,0.12065235546761789,0,0,0,159,104,6,5,0.20912547528517111,0.09090909090909091
2022,42,1334,12290647.05,1.828160342078414,1,268,11,1.6137367799271582,-0.7909180099891575,48543005.91,0.4845360388729486,0,0,1,170,86,6,5,0.328125,0.09090909090909091
2022,43,1334,15750597.01,1.9234254076957555,1,248,11,1.4063703732174837,-0.7909180099891575,160742036.65,1.617541392241399,1,1,0,178,59,6,5,0.5021097046413502,0.09090909090909091
2022,29,1342,8574085.51,1.506944676648912,1,185,3,-0.414412851921629,-0.825548055214232,35258650.47,3.1349980361103738,1,1,0,92,70,3,0,0.13580246913580246,1.0
2022,31,1342,96191131.18,7.496183866112213,1,245,3,0.4027053862241134,-0.825548055214232,226832205.27,7.205100527165501,1,1,0,156,78,3,0,0.3333333333333333,1.0
2022,32,1342,11156170.67,4.69719288795355,1,205,3,0.3206478808019373,-0.825548055214232,17213808.98,2.8585597520878565,1,1,0,110,70,3,0,0.2222222222222222,1.0
2022,35,1342,25532736.7,0.5495623643711005,0,398,3,2.527654633380877,-0.825548055214232,66822521.160000004,0.5587659306375314,0,0,0,294,99,3,0,0.4961832061068702,1.0
2022,41,1342,1573650.06,0.17206874644738993,0,283,3,1.360404121589458,-0.825548055214232,89227.54000000001,0.0031913892272052977,0,0,0,159,104,3,0,0.20912547528517111,1.0
2022,52,1342,627274.79,0.1476076977686676,0,197,3,-0.1672898435729361,-0.825548055214232,16801234.77,1.5331941451243736,1,0,0,134,47,3,0,0.48066298342541436,1.0
2022,29,1351,8664798.55,21.816255447621295,1,185,3,-0.414412851921629,-1.4078321562975915,4991773.319999999,30.163845712432085,1,1,0,92,70,2,0,0.13580246913580246,1.0
